Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
Amapá,,,,,,,
Macapá,Lagoa dos Índios,30/12/2008,,Apropriação Particular,"Destruição e oupoluição",,
Pedra Branca do Amapari,Igarapé William/Tracuá,01/01/2008,20,Apropriação Particular,"Destruição e oupoluição",,
Subtotal:,2,,20,,,,
Amazonas,,,,,,,
Careiro,T.I. Boa Vista,15/07/2008,,Uso e preservação,Pesca predatória,,
Subtotal:,1,,0,,,,
Bahia,,,,,,,
Cocos,"Barra de Posse/Capitão doMato/Prensa",29/02/2008,100,Barragens e Açudes,"Ameaça deexpropriação",,
Jaborandi,"Projeto da Barragem UHE deArrodeador/Com. de Ribeirão",30/11/2008,45,Barragens e Açudes,"Ameaça deexpropriação",,
Juazeiro,Área do Projeto de Irrigação Salitre,17/07/2008,312,Barragens e Açudes,"Diminuição doacesso à Água",,
Queimadas/ Ponto Novo,Barragem de Ponto Novo,11/06/2008,364,Barragens e Açudes,Não reassentamento,,
"Rodelas/ Glória/ PauloAfonso",Barragem de Itaparica,09/11/2008,90,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Santa Maria da Vitória,"Aguada Poço de Dentro/10Comunidades Atingidas",31/05/2008,180,Apropriação Particular,"Impedimento deacesso à água",,
"Sento Sé/ Jussara/ Itaguaçuda Bahia/ Xique-Xique","Projeto de Irrigação Baixio do Irecê/24Comunidades Atingidas",15/08/2008,873,Apropriação Particular,"Ameaça deexpropriação",,
Subtotal:,7,,1964,,,,
Ceará,,,,,,,
Jaguaribara,"Proj. Curupati Peixe eIrrigação/Castanhão",25/03/2008,143,Barragens e Açudes,"Diminuição doacesso à Água",,
Jaguaribara,Projeto Alagamar/Castanhão,25/03/2008,104,Barragens e Açudes,"Diminuição doacesso à Água",,
Jaguaribara,Projeto Mandacaru/Castanhão,25/03/2008,170,Barragens e Açudes,"Diminuição doacesso à Água",,
Limoeiro do Norte,"Com. Cabeça Preta/Proj. Irrig.Jaguaribe",12/06/2008,230,Uso e preservação,"Destruição e oupoluição",,
"Limoeiro do Norte/ MoradaNova","Projeto de Irrigação Tabuleiro doRussa/Dnocs",13/03/2008,766,Barragens e Açudes,"Ameaça deexpropriação",,
Meruoca,Barragem de Meruoca/Sítio Sabiá,13/07/2008,20,Barragens e Açudes,"Ameaça deexpropriação",,
Subtotal:,6,,1433,,,,
Goiás,,,,,,,
