Municípios,Característica,Nome da Ação dos Trabalhadores,Data,"No dePessoas","Tipo deTrabalho","Tipo deReivindicação",Organização,"Tipo deViolência"
Alagoas,,,,,,,,
Rio Largo,,Bloq. AL-210/Us. Sta. Clotilde,22/04/2013,30,"Cana-de-açúcar",Pagamento de FGTS,,
Rio Largo,,Bloq. BR-104/Us. Sta. Clotilde,24/12/2013,200,"Cana-de-açúcar",Pagamento de salários,,
"Teotônio Vilela/Coruripe",,Bloq. BR-101/Us. Guaxuma,01/04/2013,40,"Cana-de-açúcar",Pagamento de salários,,
Subtotal:,,3,,270,,,,
Goiás,,,,,,,,
Inhumas,,Greve/Usina Centroalcool,10/10/2013,,"Cana-de-açúcar",Pagamento de salários,,
Inhumas,,Greve/Usina Centroalcool,11/10/2013,200,"Cana-de-açúcar",Pagamento de salários,,
Inhumas,,Ocupação da Usina Centroalcool,20/11/2013,,"Cana-de-açúcar",Pagamento de salários,,
Inhumas,,Bloq. da GO-222/Us. Centroalcool,17/12/2013,,"Cana-de-açúcar",Pagamento de salários,,
Subtotal:,,4,,200,,,,
Mato Grosso,,,,,,,,
"Colider/ Itaúba/Cláudia/ NovaCanaã do Norte",,Protesto/Usina Colíder,11/02/2013,100,"Cana-de-açúcar","Melhores condições detrabalho",,
Subtotal:,,1,,100,,,,
Minas Gerais,,,,,,,,
Canápolis/ Ipiaçu,,Bloq. BR- 365/Us. Triaácool,20/06/2013,,"Cana-de-açúcar",Pagamento de salários,,
Canápolis/ Ipiaçu,,Bloq. BR- 365/Us. Triaácool,20/12/2013,50,"Cana-de-açúcar",Pagamento de salários,,
Subtotal:,,2,,50,,,,
Pernambuco,,,,,,,,
Gameleira,,Ocup. da Usina Cucaú,15/05/2013,500,"Cana-de-açúcar",Pagamento de salários,,
Joaquim Nabuco,,Protesto/Usina Pumaty,15/04/2013,2200,"Cana-de-açúcar",Pagamento de salários,,
Joaquim Nabuco,,Protesto/Usina Pumaty,20/05/2013,2200,"Cana-de-açúca r",Pagamento de salários,,
Subtotal:,,3,,4900,,,,
