Estado,Municípios,Característica,Nome da Manifestação,Nome da Manifestação 2,Data,No de Participantes,Tipo de Trabalho,Tipo de Reivindicação,Type of Claim,Claim Category,Tipo de Violência,Type of Violence
Alagoas,União dos Palmares,,Bloq. BR-104,Us. Laginha,24/7/2006,400,,Receber salário atrasado,Received late pay,Wages,,
Alagoas,Atalaia,,Bloqueio da BR-316,Greve,14/11/2007,500,Cultivo de cana,Melhoria salarial,Salary improvement,Wages,,
Alagoas,Japaratinga,,Bloq. da AL-430 Norte,Us. Santa Maria,18/12/2007,,Cultivo de cana,Melhoria salarial/13o salário/equipamentos,Salary improvement/13th salary/equipment,Wages,,
Alagoas,Maceió,,Bloq. BR-101,Us. Cachoeira,24/11/2007,400,Cultivo de cana,Melhoria salarial/Repouso semanal,Salary improvement/weekly rest,Wages,,
Alagoas,Murici/ Rio Largo,,Bloqueio da BR-101,"Ocup. da Us. Sta.
Clotilde",21/11/2007,500,Cultivo de cana,Regularização trabalhista,Labor regularization,Work Conditions,,
Paraná,Jaguapitã,,"Paralização e bloqueio na Faz. St.
Antônio",,26/09/2007,90,Cultivo de cana,Melhores condições de trabalho e salário adequado,Better working conditions and adequate salary,Work Conditions,,
Alagoas,Atalaia,,Bloq. BR-316,Us. Uruba,15/10/2008,,Cana de açúcar,Recebimento de salários,Receipt of wages,Wages,,
Alagoas,Rio Largo,,Bloq. BR-104,Us. Utinga Leão,05/02/2008,300,Cana de açúcar,Cumprimento de acordo e recebimento de salários,Compliance with and receipt of salaries,Wages,,
Alagoas,Rio Largo,,Bloq. BR-104,Us. Utinga Leão,15/10/2008,,Cana de açúcar,Recebimento de salários,Receipt of wages,Wages,,
Paraná,Porecatu,,Bloq. PR-170,Greve,14/05/2008,4000,Cana de açúcar,Recebimento de salários,Receipt of wages,Wages,,
Alagoas,Atalaia,,Bloq. BR-316,Us. Uruba,15/06/2009,,Cultivo de Cana de açúcar,Recebimento de salário,Receipt of salary,Wages,,
Alagoas,Colônia Leopoldina,,Bloq. BR-101,Destilaria Porto Alegre,04/05/2009,,Cultivo de cana de açúcar,Recebimento de salário,Receipt of salary,Wages,,
Alagoas,Joaquim Gomes,,Bloq. BR-101,"Us. Taquara e Dest.
Porto Alegre",03/05/2009,,Cultivo de Cana de Açúcar,Recebimento de Salário,Wage Receipt,Wages,,
Alagoas,Maceió,,Bloq. BR-104,Us. Sta. Clotilde,05/01/2009,100,Cultivo de cana,Recebimento de salário,Receipt of salary,Wages,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. da BR-104,Us. Utinga Leão,18/03/2009,800,Cana de Açúcar,Recebimento de Salário,Wage Receipt,Wages,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-101,Us. Utinga Leão,07/04/2009,100,Cultivo de Cana de Açúcar,Recebimento de Salário,Wage Receipt,Wages,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,08/05/2009,100,Cultivo de Cana de Açúcar,Recebimento de Salário,Wage Receipt,Wages,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,28/05/2009,,Cultivo de Cana de Açúcar,Recebimento de Salário,Wage Receipt,Wages,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,17/06/2009,,Cultivo de Cana de Açúcar,Recebimento de Salário e Liberação das CTPS,Receipt of Salary and Release of CTPS,Wages,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. S,30/06/2009,300,Cultivo de Cana de Açúcar,Recebimento de Salário/Fundo de Garantia/Seg. Desemp.,Receipt of Salary/Guarantee Fund/Sec. Performance,Wages,Prisão,Prison
Alagoas,Murici/ Rio Largo,,Bloq. BR-101,Us. Sta. Clotilde,22/01/2009,,Cultivo de cana,Recebimento de salário,Receipt of salary,Wages,,
Alagoas,União dos Palmares,,Bloq. BR-104,Usina Laginha,13/05/2009,,Cultivo de cana,Recebimento de salário,Receipt of salary,Wages,,
Rondônia,Porto Velho,,"Bloq. diante do Cant. de Obras da
UHE Sto. Antônio",,31/08/2009,,,Acordo Salarial,Wage agreement,Wages,,
Alagoas,Atalaia,,Bloq. AL-210,Us. Uruba,9/11/2010,,Cultivo de cana de açúcar,Equip. de segurança; melhoria salarial,Equip. of security / salary improvement,Wages,,
Alagoas,São Miguel dos Campos,,Bloq. BR101,Us. Caeté,27/12/2010,300,Cultivo de Cana-de-açúc ar,Pagamento de salário/Seguro desemprego/FGTS,Salary payment/Unemployment insurance/FGTS,Wages,,
Alagoas,Atalaia,,Bloqueio da BR-316,Us. Uruba,22/12/2011,1000,Cultivo de cana-de-açúc ar,13o salário atrasado,13th wage late,Wages,Agressão,Aggression
Alagoas,Colônia Leopoldina,,Bloq. BR-101 e BR-416,"Destilaria
Porto Alegre",7/11/2011,200,Cultivo de cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Alagoas,Coruripe,,Bloq. BR-101,Usina Guaxuma,8/2/2011,1000,Cultivo de cana-de-açúc ar,Direitos de FGTS e Seguro Desemprego,FGTS Rights and Unemployment Insurance,Work Conditions,,
Alagoas,Penedo,,Bloq. AL-110,Us. Paisa,17/2/2011,2000,Cultivo de cana-de-açúc ar,Contra o Contrato Safra,Against the Safra Contract,Work Conditions,,
Alagoas,Teotônio Vilela,,Bloq. da BR-101-Greve,Usina Seresta,5/1/2011,1000,Cultivo de cana-de-açúc ar,Quetsões salariais e adicionais,Salary and additional costs,Wages,,
Alagoas,União dos Palmares,,Bloq. BR-104,Us. Laginha,4/4/2011,100,Cultivo de cana-de-açúc ar,Direitos salariais atrasados,Wage arrears,Wages,,
Alagoas,União dos Palmares,,Bloq. BR-101,Us. Laginha,2/6/2011,100,Cultivo de cana-de-açúc ar,Direitos salariais atrasados,Wage arrears,Wages,,
Alagoas,Atalaia,,Bloq. BR-316,Us. Uruba,16/05/2012,40,Cana de açúcar,Pagamento de salários e melhores condições de trabalho,Payment of wages and better working conditions,Wages,,
Alagoas,Atalaia,,Bloq. da BR-101,Us. Uruba,29/05/2012,40,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Alagoas,Coruripe,,Bloq. BR-101,Usina Guaxuma,24/07/2012,300,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Alagoas,Coruripe,,Bloq. BR-101,Usina Guaxuma,09/10/2012,300,Transporte de Trabalhadore s,Pagamento de salários,Payment of wages,Wages,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,27/04/2012,150,Cana-de-açúc ar,Cumprimento de acordo trabalhista,Compliance with labor agreement,Work Conditions,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,03/05/2012,150,Cana-de-açúc ar,Pagamento de salários e FGTS,Payment of salaries and FGTS,Wages,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-316,Us. Utinga Leão,04/05/2012,150,Cana-de-açúc ar,Pagamento de salários e FGTS,Payment of salaries and FGTS,Wages,,
Alagoas,União dos Palmares,,Bloq. da BR-104,Usina Laginha,18/05/2012,,Cana-de-açúc ar,Pagamento de salários e férias,Payment of salaries and vacations,Wages,,
Alagoas,União dos Palmares,,Bloq. da BR-104,Us. Laginha,24/05/2012,,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Alagoas,União dos Palmares,,Bloq. da BR-104,Usina Laginha,03/08/2012,50,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Alagoas,União dos Palmares,,Bloq. da BR-104,Usina Laginha,24/08/2012,,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Pernambuco,Aliança/ Timbaúba,,Bloq. BR-408,Us. Cruangi,21/05/2012,1000,Cana-de-açúc ar,Pagamento de salários e outras questões trabalhistas,Payment of wages and other labor issues,Wages,,
Pernambuco,Aliança/ Timbaúba,,Ocup. da Usina Cruangi,Bloq. BR-408,30/07/2012,1800,Cana-de-açúc ar,Salários e desapropriação da área para reforma agrária,Wages and expropriation of the area for agrarian reform,Wages,,
Alagoas,Rio Largo,,Bloq. AL-210,Us. Sta. Clotilde,22/04/2013,30,Cana-de-açúc ar,Pagamento de FGTS,FGTS Payment,Wages,,
Alagoas,Rio Largo,,Bloq. BR-104,Us. Sta. Clotilde,24/12/2013,200,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Alagoas,Teotônio Vilela/ Coruripe,,Bloq. BR-101,Us. Guaxuma,01/04/2013,40,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Goiás,Inhumas,,Bloq. da GO-222,Us. Centroalcool,17/12/2013,,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Minas Gerais,Canápolis/ Ipiaçu,,Bloq. BR- 365,Us. Triaácool,20/06/2013,,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Minas Gerais,Canápolis/ Ipiaçu,,Bloq. BR- 365,Us. Triaácool,20/12/2013,50,Cana-de-açúc ar,Pagamento de salários,Payment of wages,Wages,,
Acre,Rio Branco,,Bloq. de Rodovia,Ramal da Judia,09/03/2004,412,,Regularização fundiária,Land regularization,Land Reform,,
Alagoas,Atalaia,,"Bloq. pela Liberdade de César
Aparecido",,17/05/2004,650,,Contra a injustiça e a violência,Against injustice and violence,Violence,,
Alagoas,Flexeiras,,Bloq. BR-101,Faz. Bota Velha,28/04/2004,80,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,Welfare,,
Alagoas,Flexeiras,,Bloqueio na BR-101,,28/04/2004,250,,Cesta básica,Basic basket,Welfare,,
Alagoas,Flexeiras,,Bloqueio na BR-104,,18/08/2004,300,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
Alagoas,Flexeiras,,Bloqueio BR-101,,13/09/2004,150,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
Alagoas,Inhapi,,"Bloq. pela Liberdade de César
Aparecido",,17/05/2004,300,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Alagoas,Maceió,,Bloqueio na Av. da Paz,,22/06/2004,150,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,Public Policies,,
Alagoas,Maceió,,Bloq. da Av. Duque de Caxias,,22/07/2004,150,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,Public Policies,,
Alagoas,Maceió,,Bloq. BR-101,Quilombo dos Palmares,09/12/2004,400,,Regularização fundiária/ Direitos humanos,Land tenure/Human rights,Human Rights,,
Alagoas,Maragogi,,"Bloq. pela Liberdade de César
Aparecido",,17/05/2004,720,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Alagoas,Maragogi,,Bloqueio na AL-101 Norte,,09/03/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
Alagoas,Maragogi,,Bloqueio na AL-101,,31/05/2004,1000,,Incentivos à pequena produção,Incentives to small production,Work Conditions,,
Alagoas,Maragogi,,Bloqueio na AL-101,,18/08/2004,350,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
Alagoas,Matriz do Camaragibe,,Bloqueio na AL-101,,13/09/2004,400,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,Public Policies,,
Alagoas,Messias,,Bloq. BR-101,Faz. Prazeres,03/08/2004,100,,Regularização fundiária,Land regularization,Land Reform,,
Alagoas,Messias,,Bloq. BR-101,Faz. Prazeres,15/12/2004,50,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
Alagoas,Messias,,Bloqueio na BR-101,,17/05/2004,,,Desapropriação/ Contra a injustiça e a violência,Expropriation/Against injustice and violence,Injustice,,
Alagoas,Murici,,"Bloq. pela Liberdade de César
Aparecido",,17/05/2004,480,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Alagoas,Novo Lino,,Bloqueio na BR-101,,26/02/2004,360,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
