Municípios,Característica,Nome da Ação dos Trabalhadores,Data,"No deParticipantes","Tipo deTrabalho","Tipo deReivindicação",Organização,"Tipo deViolência"
Alagoas,,,,,,,,
União dos Palmares,,Bloq. BR-104/Us. Laginha,24/7/2006,400,,"Recebersalárioatrasado",,
Subtotal:,,1,,400,,,,
Bahia,,,,,,,,
Juazeiro,,Greve/Empresa Agrícola Agrovale,9/6/2006,500,Corte de cana,"Aumentosalarial",,"Morte emconseqüência"
Juazeiro,,"Greve/Empresa Nova FronteiraAgrícola",30/10/2006,773,"Cultivo demanga e uva","Cumprimentode acordos",,
Subtotal:,,2,,1273,,,,
Goiás,,,,,,,,
Carmo do Rio Verde,,"Greve/Us. CRV Industrial/Faz. BoaVista",1/8/2006,400,Corte de cana,"Cumprimentode Acordos",,
Goianésia,,Greve/Usina Goianésia,1/6/2006,1350,Corte de cana,"DireitosTrabalhistas",,Prisão
Jandaia/ Indiara,,Greve/Destilaria Nova União S/A,17/8/2006,800,Corte da cana,"Melhoriasalarial",,Prisão
Rubiataba,,Greve/Agro Rub/Rubim,31/5/2006,700,Corte de cana,"Cumprimentode acordos",,
Subtotal:,,4,,3250,,,,
Maranhão,,,,,,,,
Coelho Neto,,"Ato contra Demissão Coletiva/ItapagéS/A Celulose",27/1/2006,,Celulose,"Contrademissãocoletiva",,
Subtotal:,,1,,0,,,,
São Paulo,,,,,,,,
Cândido Mota,,Greve na Usina Nova América,15/10/2006,200,,"Reajuste desalários",,
Subtotal:,,1,,200,,,,
