Estado,Municípios,Característica,Nome da Manifestação,Nome da Manifestação 2,Data,No de Participantes,Tipo de Trabalho,Tipo de Reivindicação,Type of Claim,,Tipo de Violência,Type of Violence
Alagoas,União dos Palmares,,Bloq. BR-104,Us. Laginha,24/7/2006,400,,Receber salário atrasado,Received late pay,,,
Alagoas,Atalaia,,Bloqueio da BR-316,Greve,14/11/2007,500,Cultivo de cana,Melhoria salarial,Salary improvement,,,
Alagoas,Japaratinga,,Bloq. da AL-430 Norte,Us. Santa Maria,18/12/2007,,Cultivo de cana,Melhoria salarial/13o salário/equipamentos,Salary improvement/13th salary/equipment,,,
Alagoas,Maceió,,Bloq. BR-101,Us. Cachoeira,24/11/2007,400,Cultivo de cana,Melhoria salarial/Repouso semanal,Salary improvement/weekly rest,,,
Alagoas,Murici/ Rio Largo,,Bloqueio da BR-101,"Ocup. da Us. Sta.Clotilde",21/11/2007,500,Cultivo de cana,Regularização trabalhista,Labor regularization,,,
Paraná,Jaguapitã,,"Paralização e bloqueio na Faz. St.Antônio",,26/09/2007,90,Cultivo de cana,Melhores condições de trabalho e salário adequado,Better working conditions and adequate salary,,,
Alagoas,Atalaia,,Bloq. BR-316,Us. Uruba,15/10/2008,,Cana de açúcar,Recebimento de salários,Receipt of wages,,,
Alagoas,Rio Largo,,Bloq. BR-104,Us. Utinga Leão,05/02/2008,300,Cana de açúcar,Cumprimento de acordo e recebimento de salários,Compliance with and receipt of salaries,,,
Alagoas,Rio Largo,,Bloq. BR-104,Us. Utinga Leão,15/10/2008,,Cana de açúcar,Recebimento de salários,Receipt of wages,,,
Paraná,Porecatu,,Bloq. PR-170,Greve,14/05/2008,4000,Cana de açúcar,Recebimento de salários,Receipt of wages,,,
Alagoas,Atalaia,,Bloq. BR-316,Us. Uruba,15/06/2009,,Cultivo de Cana de açúcar,Recebimento de salário,Receipt of salary,,,
Alagoas,Colônia Leopoldina,,Bloq. BR-101,Destilaria Porto Alegre,04/05/2009,,Cultivo de cana de açúcar,Recebimento de salário,Receipt of salary,,,
Alagoas,Joaquim Gomes,,Bloq. BR-101,"Us. Taquara e Dest.Porto Alegre",03/05/2009,,Cultivo de Cana de Açúcar,Recebimento de Salário,Wage Receipt,,,
Alagoas,Maceió,,Bloq. BR-104,Us. Sta. Clotilde,05/01/2009,100,Cultivo de cana,Recebimento de salário,Receipt of salary,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. da BR-104,Us. Utinga Leão,18/03/2009,800,Cana de Açúcar,Recebimento de Salário,Wage Receipt,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-101,Us. Utinga Leão,07/04/2009,100,Cultivo de Cana de Açúcar,Recebimento de Salário,Wage Receipt,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,08/05/2009,100,Cultivo de Cana de Açúcar,Recebimento de Salário,Wage Receipt,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,28/05/2009,,Cultivo de Cana de Açúcar,Recebimento de Salário,Wage Receipt,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,17/06/2009,,Cultivo de Cana de Açúcar,Recebimento de Salário e Liberação das CTPS,Receipt of Salary and Release of CTPS,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. S,30/06/2009,300,Cultivo de Cana de Açúcar,Recebimento de Salário/Fundo de Garantia/Seg. Desemp.,Receipt of Salary/Guarantee Fund/Sec. Performance,,Prisão,Prison
Alagoas,Murici/ Rio Largo,,Bloq. BR-101,Us. Sta. Clotilde,22/01/2009,,Cultivo de cana,Recebimento de salário,Receipt of salary,,,
Alagoas,União dos Palmares,,Bloq. BR-104,Usina Laginha,13/05/2009,,Cultivo de cana,Recebimento de salário,Receipt of salary,,,
Rondônia,Porto Velho,,"Bloq. diante do Cant. de Obras daUHE Sto. Antônio",,31/08/2009,,,Acordo Salarial,Wage agreement,,,
Alagoas,Atalaia,,Bloq. AL-210,Us. Uruba,9/11/2010,,Cultivo de cana de açúcar,Equip. de segurança; melhoria salarial,Equip. of security, salary improvement,,
Alagoas,São Miguel dos Campos,,Bloq. BR101,Us. Caeté,27/12/2010,300,Cultivo de Cana-de-açúc ar,Pagamento de salário/Seguro desemprego/FGTS,Salary payment/Unemployment insurance/FGTS,,,
Alagoas,Atalaia,,Bloqueio da BR-316,Us. Uruba,22/12/2011,1000,Cultivo de cana-de-açúc ar,13o salário atrasado,13th wage late,,Agressão,Aggression
Alagoas,Colônia Leopoldina,,Bloq. BR-101 e BR-416,"DestilariaPorto Alegre",7/11/2011,200,Cultivo de cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
