municipios,Property Name Occupied,Data,Area,Families,Organization
Alagoas,,,,,
Água Branca,T.I. Kalankó,12/06/2008,,77,Indians
Água Branca,Fazenda Gangorra,07/05/2008,,30,MST
Cacimbinhas,Faz. Marcação/Lagoa Queimada,21/04/2008,1236,60,MST
Delmiro Gouveia,Fazenda Piçarra,22/05/2008,2137,60,MST
Junqueiro/Teotônio Vilela,Faz. Carolina/Produban/Banco do Estado,14/04/2008,400,80,MST
Maragogi,Fazenda Bosque,10/07/2008,,60,MLST
Maragogi,Fazenda Embiras/Indiras,10/07/2008,,60,MLST
Maragogi,Faz. Várzea Grande/Vargem Grande,10/07/2008,,60,MLST
Maragogi,Fazenda Mato Grosso,05/09/2008,,25,CPT
Maragogi,Fazenda Utinga,10/07/2008,,60,MLST
Palmeira dos Índios,Faz. Ladeira Doce/Val Basílio/T.I. Xucuru-Kariri,16/03/2008,1818,50,Índios
Palmeira dos Índios,"Faz. de Val Basílio/Povoado Velha Ana/T.I.Xucuru-Kariri",16/03/2008,,50,Índios
Palmeira dos Índios,Faz. Buenos Aires/T.I. Xucuru-Kariri,06/03/2008,3500,94,Índios
Piranhas,Faz. Lagoa Comprida,27/02/2008,1000,100,MST
Porto de Pedras,Fazenda Água Preta,10/06/2008,,,CPT
Porto de Pedras,Fazenda Água Preta,24/09/2008,,,CPT
Porto de Pedras,Faz. Sta. Cecília/Peri-Peri/Tipiri,07/09/2008,,25,CPT
Porto de Pedras,Fazenda Castelo,24/09/2008,,,CPT
São Miguel dos Milagres,Faz. Mata Redonda/Acamp. Santo Reis,05/01/2008,1000,30,CPT
Viçosa,Fazenda Bom Jardim,30/10/2008,,50,MST
Subtotal:,20,,11091,971,
Amazonas,,,,,
Manaus,Com. Lagoa Azul/AM-010/Km 11,11/01/2008,,200,Índios
Subtotal:,1,,0,200,
Bahia,,,,,
Canavieiras,Fazenda Santa Maria,17/01/2008,284,60,Fetag/BA
Carinhanha,Área às margens da BA-161,05/05/2008,,320,SI
Carinhanha,Quilombo Barra do Parateca,03/05/2008,,214,Quilombolas
Carinhanha,Fazenda Canaã,05/05/2008,,350,SI
Casa Nova,"Com. de Areia Grande: Riacho Grande/Salina daBrinca/Jurema/Melancia",16/03/2008,30000,336,UNASFP
Central,Fazenda em Central,30/03/2008,,100,MST
Cruz das Almas,"Área da Universidade Federal do Recôncavo  daB a h  ia",16/04/2008,,150,MST
Eunápolis,Área da Veracel,15/09/2008,12,50,MLT
Guaratinga,Fazenda Marabá,23/02/2008,,200,MST
Ilhéus,Fazenda Providência de Deus,12/06/2008,840,30,Índios
Ilhéus,Fazenda na Região do Jairi,14/06/2008,500,40,Índios
Ilhéus,Área Perto da Região de Acuípe do Meio,11/07/2008,500,20,Índios
Ilhéus,"Morada dos Pássaros/Região do Parque deOlivença",13/07/2008,20,10,Índios
Itabela,Fazenda Tangaré,22/02/2008,,250,MST
Itambé,"Área da Estação Experimental/Faz. ManoelMachado/EBDA",03/03/2008,,,Fetag/BA/ MST
Itambé,"Área da Estação Experimental/Faz. ManoelMachado/EBDA",14/04/2008,,200,Fetag/BA/ MST
Jandaíra,Área em Jandaíra/Faz. 1,12/04/2008,,150,MST
Jandaíra,Área em Jandaíra/Faz. 2,12/04/2008,,200,MST
Olivença,Fazenda Fercal,28/06/2008,1000,21,Índios
Pau Brasil,Fazenda Boa Vida,19/12/2008,,10,Índios
Ponto Novo,Terra da Agrovale,11/06/2008,,300,Via Campesina
Prado,"Faz. no Distrito de Cumuruxatiba/Entorno do Parquedo Descobrimento",26/05/2008,,,Índios
Prado,"Faz. no Distrito de Cumuruxatiba/Entorno do Parquedo Descobrimento",14/07/2008,340,23,Índios
Rio Real,Área em Rio Real,11/04/2008,,150,MST
Ruy Barbosa,Fazenda Casa Nova,05/11/2008,2613,80,Ceta
Teixeira de Freitas,Faz. Bela Manhã/Aracruz,05/04/2008,2400,550,MST
Una,Fazenda Sapucaieira,09/06/2008,1500,50,Índios
,Fazenda Santa Emília,07/04/2008,,150,MTD
Municípios,Property Name Occupied,Data,Área,Famílias,Organization
Subtotal:,28,,40009,4014,
Ceará,,,,,
Boa Viagem,Fazenda Mato Grosso,02/04/2008,,60,MST
Crateús,Fazs. Grajaú e Riacho dos Cavalos,22/04/2008,3094,150,MST
Ocara,Fazenda Joasa,17/04/2008,,100,MST
São Luís do Curu,Fazenda Monte,17/04/2008,,100,MST
Subtotal:,4,,3094,410,
Espírito Santo,,,,,
Aracruz,"Ald. Córrego d' Ouro/Olho d'Água/Tupinikim/Guarani M'Bia",16/10/2008,11000,40,Índios
Mimoso do Sul,Fazenda Pingo d'Água,14/05/2008,,22,Fetaes/ STR
Subtotal:,2,,11000,62,
Goiás,,,,,
Crixás,Fazenda Rio Vermelho 20,16/04/2008,,200,MST
Edealina,Fazenda Mata Rica/Mata Linda,12/04/2008,,,MST
Edealina,Fazenda Mata Rica/Mata Linda,25/12/2008,2000,150,MST
Faina,Fazenda de Cima/Capim Puba/Campo Limpo,10/10/2008,2000,100,MTL-DI
Itajá,"Faz. Sta. Helena/Bálsamo/Córrego dasAlmas/Acamp. Aporé",02/06/2008,,,LCP
Itajá,"Faz. Sta. Helena/Bálsamo/Córrego dasAlmas/Acamp. Aporé",28/08/2008,,100,LCP
Itarumã,Fazenda Jaraguá,07/12/2008,,60,MTL-DI
Mineiros,Fazenda do Banco do Brasil,25/04/2008,,35,Sintraf
Paranaiguara,Fazenda Disco,03/08/2008,1715,15,MTL/ STR
Rio Verde,Fazenda Fortaleza,02/11/2008,1100,20,MTL-DI
Subtotal:,10,,6815,680,
Maranhão,,,,,
Ribamar Fiquene,Faz. Novo Horizonte/Acamp. 25 de Junho,25/06/2008,1200,150,MST
Subtotal:,1,,1200,150,
Mato Grosso,,,,,
Nova Olímpia,Fazenda Palmital,04/08/2008,2331,140,MST
Subtotal:,1,,2331,140,
Mato Grosso do Sul,,,,,
Aquidauana,Fazenda Santa Bárbara,11/02/2008,300,50,Índios
Dourados,Fazenda Serrana,16/06/2008,100,15,Índios
Miranda,Fazenda Petrópolis,25/08/2008,,60,Índios
Miranda,Sítio Boa Sorte,12/06/2008,,,Índios
Miranda,Sítio Boa Sorte,17/06/2008,,60,Índios
Rio Brilhante,Fazenda Santo Antônio da Nova Esperança,27/02/2008,430,50,Índios
Subtotal:,6,,830,235,
Minas Gerais,,,,,
Campo Florido/Uberlândia,Fazenda Paraíso,20/04/2008,509,150,MST
Canápolis,Área em Canápolis,04/05/2008,,12,Fetaemg
Frei Inocêncio,Faz. Eldorado/Acamp. Pe. Gino,23/06/2008,2880,45,MST
Frei Inocêncio,Faz. Monte Azul/Acamp. Maria da Penha,21/06/2008,1902,12,MST
Gurinhatã,Fazenda Barro Preto,01/06/2008,,30,LCPCO
Ituiutaba,Área em Ituiutaba,27/07/2008,,12,Contag
Jequitaí,Faz. Correntes/Acamp. Erivan,17/04/2008,11000,100,MST
Prata,Fazenda Buracão,17/02/2008,,160,MLST
Rio Pardo de Minas,Fazenda Curral Novo,13/06/2008,,6,MST
Rio Pardo de Minas,Faz. Jacu/Japoré,12/06/2008,380,80,OLST
Subtotal:,10,,16671,607,
Pará,,,,,
Altamira,Faz. Atalas/Tigre/Castelo dos Sonhos/PDS Brasília,20/07/2008,55000,200,SI
Breu Branco,Faz. da Globe Metais,13/04/2008,,70,MST
Breu Branco,Fazenda Sul - América,16/01/2008,,61,Fetagri/PA
Canaã dos Carajás/Parauapebas,Fazenda São Luís,17/08/2008,21000,700,MST
Conceição do Araguaia,P.A. Pecosa/Faz. N. Sra. Apar. Agrop/Jocom,29/01/2008,,30,STR
Conceição do Araguaia,P.A. Pecosa/Faz. N. Sra. Apar. Agrop/Jocom,15/08/2008,,10,STR
Curionópolis/Eldorado dos Carajás,Faz. Serra Norte/Surubim,21/01/2008,,,Fetagri/PA
Eldorado dos Carajás,Faz. Iraque/Acamp. Jerusalém,05/02/2008,1252,100,Fetagri/PA
Eldorado dos Carajás/Irituia,"Agrop. Sta. Bárbara/Ma Bonita/Compl. Faz. SãoFelipe",25/07/2008,23000,324,MST
Itupiranga,Fazenda Água Boa,14/06/2008,,150,Fetagri/PA
Marabá,Faz. Soberana/P. A. Jatobá,20/02/2008,278,21,STR
Marabá,Faz. de Márcio Aparecido Tavares,01/11/2008,1000,60,OI
,Faz. Vaca  Branca/Sta. Maria,22/02/2008,,30,Fetagri/PA
Counties,Property Name Occupied,Data,Área,Famílias,Organização
"Salvaterra/Santa Maria dasBarreiras",Complexo Forkilha/Assent. Agropec,28/05/200,40000,45,LCP
São Félix do Xingu,Faz. Terra Roxa/Faz. São Félix/São Miguel,12/10/200,11900,72,AST*
Tucumã,Faz. Nega Madalena/De Beira-Mar,30/08/200,,322,MST
Tucuruí,Acamp. João Canuto/Faz. Arumatheua,21/01/200,2500,72,SI
Subtotal:,17,,155930,2267,
Paraíba,,,,,
Algodão de Jandaíra,Fazenda Serra Preta,17/04/200,,60,MST
