Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Acre,,,,,
Acrelândia,"Ramal de Acesso ao Campo Novo/Faz. do ZéJuíno/Seringal Porto Dias",20/04/2016,,20,OI
Acrelândia,"Ramal do Catarino/Faz. Manoel dos Santos/Ocup.Baiano",14/01/2016,,36,OI
Bujari,Faz. Canary/Ramal do Cacau,03/11/2016,15800,127,OI
Porto Acre,Fazenda Vista Alegre,01/05/2016,500,102,OI
Rio Branco,Seringal Capatará,17/11/2016,44420,146,OI
Subtotal:,5,,60720,431,
Alagoas,,,,,
Atalaia/Joaquim Gomes,Faz. São Sebastião/Acamp. São José/Us. Ouricuri,30/05/2016,,,MST
Atalaia/Joaquim Gomes,Faz. São Sebastião/Acamp. São José/Us. Ouricuri,22/11/2016,480,73,MST
Subtotal:,2,,480,73,
Bahia,,,,,
Abaré,"Área da UATVA/Faz. Reunidas Rio de ContasLtda",06/03/2016,600,150,MST
Amélia Rodrigues,Usina Aliança,21/05/2016,,200,MST
Arataca,Fazenda Alto da Aliança,10/04/2016,704,50,MST
Arataca,Fazenda Araguaia,31/03/2016,2000,22,MST
Barreiras,Faz. Dona Júlia 2/Acamp. Capitão Lamarca,31/03/2016,,250,MST
Boa Vista do Tupim,Fazenda Santa Terezinha,20/11/2016,,25,OI
Bom Jesus da Lapa,Com. Quilombola Fortaleza,30/10/2016,,63,Quilombolas
Caravelas,Fazenda Mato Verde,13/06/2016,,45,MST
Casa Nova,Fazenda São Judas Tadeu,08/03/2016,700,150,MST
Conceição do Coité,Faz. Marruás/Itareru,28/02/2016,616,50,MST
Iramaia,Fazenda Lagoa das Tábuas,21/05/2016,3000,103,MST
Itaberaba/Ruy Barbosa,Faz. Santa Maria/Acamp. Olga Benário,06/11/2016,1600,100,MST
Itagibá,Faz. Serra Azul/Mirabela Mineradora,05/03/2016,,480,MST
Itanhém,Faz. Planície/Acamp. Padre José,07/01/2016,,,MST
Itanhém,Faz. Planície/Acamp. Padre José,30/07/2016,600,100,MST
Iuiú,Fazenda Bial,11/04/2016,600,260,MST
Iuiú,Fazenda Santa Maria,18/05/2016,4134,110,MST
Jucuruçu,Fazenda Changrilá,19/02/2016,,,MST
Jucuruçu,Fazenda Changrilá,29/05/2016,,,MST
Jucuruçu,Fazenda Changrilá,11/08/2016,1400,130,MST
Lajedão,Canavial da Unial/Faz. Pingueira,05/03/2016,,260,MST
Nordestina,Acampamento São Jorge,12/08/2016,,250,MST
Nordestina,Fazenda Olhos d'Água,13/08/2016,2000,250,MST
Pau Brasil,Fazenda Favorita,23/04/2016,300,23,MST
Planaltino,"Área da Companhia de Ferro Ligas daBahia/Ferbasa",06/03/2016,,40,MST
Prado,"T. I. Cahy-Pequi/Comexatiba/AldeiaCahy/Mexatibá/Cumuruxatiba",27/01/2016,28000,75,Índios
Santa Cruz Cabrália,Faz. Mangabeira/Aldeia Aratikum,01/12/2016,,30,Índios
Santa Luzia,Fazenda Conjunto Vitória,24/07/2016,280,45,Ceta
Teixeira de Freitas,Faz. São Benedito/Grupo JU Úngaro,15/08/2016,1500,280,MST
Una,Fazenda Conjunto Presente,10/04/2016,301,50,MST
Subtotal:,30,,48335,3591,
Ceará,,,,,
Santana do Acaraú,Fazenda Canafístula,18/04/2016,1048,100,MST
Subtotal:,1,,1048,100,
Distrito Federal,,,,,
Sobradinho,Faz. Sávia/Sálvia,08/03/2016,306,75,MST
Sobradinho,Área Rota dos Cavalos,25/03/2016,,250,MST
Subtotal:,2,,306,325,
Espírito Santo,,,,,
Aracruz,Área em Aracruz,23/05/2016,,200,MST
Ecoporanga,Acamp. Maria Izabel/Faz. Santa Rita,21/08/2016,508,300,MST
Linhares,Área da Fíbria Celulose,12/09/2016,1200,150,MST
Subtotal:,3,,1708,650,
Goiás,,,,,
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Caçu,P. A. Sonho Real,01/05/2016,,1,Terra Livre
Formosa,Fazenda Saco de Bom Jesus,08/09/2016,1909,75,MST
Itauçu,Faz. Córrego Rico/Faz. do Estado,10/09/2016,730,150,Terra Livre
Jataí,Faz. Sertãozinho/Ariranha,24/03/2016,3100,200,Terra Livre
Jataí,Fazenda Campolina,25/03/2016,,250,Terra Livre
Santa Helena de Goiás,Usina Santa Helena,31/07/2016,,1000,MST
Santa Isabel,Fazenda Sibéria,16/01/2016,,375,MST
Subtotal:,8,,5739,2052,
Maranhão,,,,,
Matinha/Viana,"Povo Gamela de Taquaritiua/Centro doAntero/Sesmaria Índios/Pov. Chulanga",15/08/2016,10369,100,Índios
Subtotal:,1,,10369,100,
Mato Grosso,,,,,
Acorizal/Jangada/Várzea Grande,Gl. Espinheiro/Acamp. Chico Mendes/Itamaracá,01/08/2016,9000,200,MST
Castanheira,Fazenda Sumaré,03/06/2016,,35,OI
Castanheira,Faz. Santa Rita de Cássia/Zé Crica,11/01/2016,5120,110,OI
Castanheira,Faz. Vovó Amélia/Acamp. Nova Esperança V,10/04/2016,1452,30,OI
Castanheira,Fazenda Cristo Rei,12/04/2016,1160,35,OI
Castanheira,Fazenda do Zé da Cândida,13/01/2016,,30,OI
Castanheira,Fazenda Joaquim Velho,25/01/2016,,30,OI
Colniza,Fazenda Bauru/Magali,15/02/2016,48000,150,OI
