,"municipios","Property Name Occupied","Data","Area","Families","Organization"
"Alagoas","Água Branca","T.I. Kalankó","12/06/2008",,"77","Indians"
"Alagoas","Água Branca","Fazenda Gangorra","07/05/2008",,"30","MST"
"Alagoas","Cacimbinhas","Faz. Marcação/Lagoa Queimada","21/04/2008","1236","60","MST"
"Alagoas","Delmiro Gouveia","Fazenda Piçarra","22/05/2008","2137","60","MST"
"Alagoas","Junqueiro/Teotônio Vilela","Faz. Carolina/Produban/Banco do Estado","14/04/2008","400","80","MST"
"Alagoas","Maragogi","Fazenda Bosque","10/07/2008",,"60","MLST"
"Alagoas","Maragogi","Fazenda Embiras/Indiras","10/07/2008",,"60","MLST"
"Alagoas","Maragogi","Faz. Várzea Grande/Vargem Grande","10/07/2008",,"60","MLST"
"Alagoas","Maragogi","Fazenda Mato Grosso","05/09/2008",,"25","CPT"
"Alagoas","Maragogi","Fazenda Utinga","10/07/2008",,"60","MLST"
"Alagoas","Palmeira dos Índios","Faz. Ladeira Doce/Val Basílio/T.I. Xucuru-Kariri","16/03/2008","1818","50","Índios"
"Alagoas","Palmeira dos Índios","Faz. de Val Basílio/Povoado Velha Ana/T.I.Xucuru-Kariri","16/03/2008",,"50","Índios"
"Alagoas","Palmeira dos Índios","Faz. Buenos Aires/T.I. Xucuru-Kariri","06/03/2008","3500","94","Índios"
"Alagoas","Piranhas","Faz. Lagoa Comprida","27/02/2008","1000","100","MST"
"Alagoas","Porto de Pedras","Fazenda Água Preta","10/06/2008",,,"CPT"
"Alagoas","Porto de Pedras","Fazenda Água Preta","24/09/2008",,,"CPT"
"Alagoas","Porto de Pedras","Faz. Sta. Cecília/Peri-Peri/Tipiri","07/09/2008",,"25","CPT"
"Alagoas","Porto de Pedras","Fazenda Castelo","24/09/2008",,,"CPT"
"Alagoas","São Miguel dos Milagres","Faz. Mata Redonda/Acamp. Santo Reis","05/01/2008","1000","30","CPT"
"Alagoas","Viçosa","Fazenda Bom Jardim","30/10/2008",,"50","MST"
"Amazonas","Manaus","Com. Lagoa Azul/AM-010/Km 11","11/01/2008",,"200","Índios"
"Bahia","Canavieiras","Fazenda Santa Maria","17/01/2008","284","60","Fetag/BA"
"Bahia","Carinhanha","Área às margens da BA-161","05/05/2008",,"320","SI"
"Bahia","Carinhanha","Quilombo Barra do Parateca","03/05/2008",,"214","Quilombolas"
"Bahia","Carinhanha","Fazenda Canaã","05/05/2008",,"350","SI"
"Bahia","Casa Nova","Com. de Areia Grande: Riacho Grande/Salina daBrinca/Jurema/Melancia","16/03/2008","30000","336","UNASFP"
"Bahia","Central","Fazenda em Central","30/03/2008",,"100","MST"
"Bahia","Cruz das Almas","Área da Universidade Federal do Recôncavo  daB a h  ia","16/04/2008",,"150","MST"
"Bahia","Eunápolis","Área da Veracel","15/09/2008","12","50","MLT"
"Bahia","Guaratinga","Fazenda Marabá","23/02/2008",,"200","MST"
"Bahia","Ilhéus","Fazenda Providência de Deus","12/06/2008","840","30","Índios"
"Bahia","Ilhéus","Fazenda na Região do Jairi","14/06/2008","500","40","Índios"
"Bahia","Ilhéus","Área Perto da Região de Acuípe do Meio","11/07/2008","500","20","Índios"
"Bahia","Ilhéus","Morada dos Pássaros/Região do Parque deOlivença","13/07/2008","20","10","Índios"
"Bahia","Itabela","Fazenda Tangaré","22/02/2008",,"250","MST"
"Bahia","Itambé","Área da Estação Experimental/Faz. ManoelMachado/EBDA","03/03/2008",,,"Fetag/BA/ MST"
"Bahia","Itambé","Área da Estação Experimental/Faz. ManoelMachado/EBDA","14/04/2008",,"200","Fetag/BA/ MST"
"Bahia","Jandaíra","Área em Jandaíra/Faz. 1","12/04/2008",,"150","MST"
"Bahia","Jandaíra","Área em Jandaíra/Faz. 2","12/04/2008",,"200","MST"
"Bahia","Olivença","Fazenda Fercal","28/06/2008","1000","21","Índios"
"Bahia","Pau Brasil","Fazenda Boa Vida","19/12/2008",,"10","Índios"
"Bahia","Ponto Novo","Terra da Agrovale","11/06/2008",,"300","Via Campesina"
"Bahia","Prado","Faz. no Distrito de Cumuruxatiba/Entorno do Parquedo Descobrimento","26/05/2008",,,"Índios"
"Bahia","Prado","Faz. no Distrito de Cumuruxatiba/Entorno do Parquedo Descobrimento","14/07/2008","340","23","Índios"
"Bahia","Rio Real","Área em Rio Real","11/04/2008",,"150","MST"
"Bahia","Ruy Barbosa","Fazenda Casa Nova","05/11/2008","2613","80","Ceta"
"Bahia","Teixeira de Freitas","Faz. Bela Manhã/Aracruz","05/04/2008","2400","550","MST"
"Bahia","Una","Fazenda Sapucaieira","09/06/2008","1500","50","Índios"
"Bahia",,"Fazenda Santa Emília","07/04/2008",,"150","MTD"
"Ceará","Boa Viagem","Fazenda Mato Grosso","02/04/2008",,"60","MST"
"Ceará","Crateús","Fazs. Grajaú e Riacho dos Cavalos","22/04/2008","3094","150","MST"
"Ceará","Ocara","Fazenda Joasa","17/04/2008",,"100","MST"
"Ceará","São Luís do Curu","Fazenda Monte","17/04/2008",,"100","MST"
"Espírito Santo","Aracruz","Ald. Córrego d' Ouro/Olho d'Água/Tupinikim/Guarani M'Bia","16/10/2008","11000","40","Índios"
"Espírito Santo","Mimoso do Sul","Fazenda Pingo d'Água","14/05/2008",,"22","Fetaes/ STR"
"Goiás","Crixás","Fazenda Rio Vermelho 20","16/04/2008",,"200","MST"
"Goiás","Edealina","Fazenda Mata Rica/Mata Linda","12/04/2008",,,"MST"
"Goiás","Edealina","Fazenda Mata Rica/Mata Linda","25/12/2008","2000","150","MST"
"Goiás","Faina","Fazenda de Cima/Capim Puba/Campo Limpo","10/10/2008","2000","100","MTL-DI"
"Goiás","Itajá","Faz. Sta. Helena/Bálsamo/Córrego dasAlmas/Acamp. Aporé","02/06/2008",,,"LCP"
"Goiás","Itajá","Faz. Sta. Helena/Bálsamo/Córrego dasAlmas/Acamp. Aporé","28/08/2008",,"100","LCP"
"Goiás","Itarumã","Fazenda Jaraguá","07/12/2008",,"60","MTL-DI"
"Goiás","Mineiros","Fazenda do Banco do Brasil","25/04/2008",,"35","Sintraf"
"Goiás","Paranaiguara","Fazenda Disco","03/08/2008","1715","15","MTL/ STR"
"Goiás","Rio Verde","Fazenda Fortaleza","02/11/2008","1100","20","MTL-DI"
"Maranhão","Ribamar Fiquene","Faz. Novo Horizonte/Acamp. 25 de Junho","25/06/2008","1200","150","MST"
"Mato Grosso","Nova Olímpia","Fazenda Palmital","04/08/2008","2331","140","MST"
